Size,Avg Count,Count Coef,Avg Time,Time Coef
200,10015,4.415617854369662,24102,10.38661147726458
400,39902,3.755288480405005,48907,1.397858860809738
600,89699,2.573986711675922,75207,1.8872594867420651
800,159151,2.210969541732729,102675,3.5557186424567484
1000,248586,2.367068406499017,137282,10.797171274089237
1200,359405,1.791451829820122,159367,3.1377788161277955
1400,487544,1.77006674025111,189832,4.912106653547292
1600,636886,1.6938891362851836,213257,1.3477588114477121
1800,809722,1.577445341558965,243875,3.440852849671979
2000,997034,1.5150844371805068,270455,2.0597373397723495
2200,1206460,1.28508736896156,300515,1.6667012710958173
2400,1430190,1.1543479336050342,334092,3.648884400314603
