Size,Avg Count,Count Coef,Avg Time,Time Coef
200,19900,0.0,8755,7.021753113393971
400,79800,0.0,34350,11.393167525424222
600,179700,0.0,63750,1.7456656761490688
800,319600,0.0,114900,9.980983354446279
1000,499500,0.0,169867,0.8214080854402632
1200,719400,0.0,244320,4.13969294471255
1400,979300,0.0,327387,1.2243420468896657
1600,1279200,0.0,422955,1.0414558225915653
1800,1619100,0.0,531115,0.8504229609753167
2000,1999000,0.0,649415,0.7638234539635622
2200,2418900,0.0,797710,11.405491350655202
2400,2878800,0.0,928142,0.549085991251421
