Size,Avg Count,Count Coef,Avg Time,Time Coef
200,9878,4.830904048427009,22102,4.2474118236413
400,39684,3.551410573946722,45517,2.1771119062047295
600,89696,2.882239460389696,70205,2.6716227055040864
800,161457,2.379725153500371,96325,4.202930007574916
1000,249500,1.9470270294365235,125252,8.366813609462138
1200,359990,1.7705175239652384,145162,1.5129516015257252
1400,489371,2.008747543610225,172307,2.201187058918368
1600,644874,1.6164279359115117,196132,1.2950342523110057
1800,806349,1.6123718617061154,223597,1.7437973922462153
2000,998910,1.6972783718605537,248847,0.9724854419129276
2200,1208052,1.273817356317434,280587,1.0135229424805037
2400,1440453,1.3589939194787781,308835,1.1516698382899997
