Size,Avg Count,Count Coef,Avg Time,Time Coef
200,19900,0.0,8662,5.200450354023611
400,79800,0.0,33315,1.4776336084124353
600,179700,0.0,72937,4.767846255537415
800,319600,0.0,126357,1.584225425555237
1000,499500,0.0,194482,1.021021881866596
1200,719400,0.0,277825,1.9282391443951865
1400,979300,0.0,375525,1.4994987109923499
1600,1279200,0.0,488132,2.6686931868083184
1800,1619100,0.0,618920,2.7398079189748357
2000,1999000,0.0,756292,1.2450517527114968
2200,2418900,0.0,911810,0.7243367531567438
2400,2878800,0.0,1086025,0.8818220812584829
